address	type	length	references	value
1800f21fa	string	13	0	 wilActivity
1800f2209	string	8	0	hresult
1800f2212	string	9	0	threadId
1800f221c	string	15	0	CollectionType
1800f223b	string	21	0	EspGetCollectionType
1800f2250	string	15	0	PartA_PrivTags
1800f225f	string	16	0	 PartA_PrivTags
1800f226f	string	13	0	 wilActivity
1800f227e	string	8	0	hresult
1800f2287	string	9	0	fileName
1800f2291	string	11	0	lineNumber
1800f229d	string	7	0	module
1800f22a5	string	12	0	failureType
1800f22b2	string	8	0	message
1800f22bb	string	9	0	threadId
1800f22c5	string	12	0	callContext
1800f22d2	string	21	0	originatingContextId
1800f22e8	string	23	0	originatingContextName
1800f2300	string	26	0	originatingContextMessage
1800f231b	string	17	0	currentContextId
1800f232d	string	19	0	currentContextName
1800f2341	string	22	0	currentContextMessage
1800f2358	string	10	0	failureId
1800f2363	string	13	0	failureCount
1800f2371	string	9	0	function
1800f237b	string	15	0	CollectionType
1800f239a	string	21	0	EspGetCollectionType
1800f23af	string	15	0	PartA_PrivTags
1800f23be	string	13	0	 wilActivity
1800f23cd	string	9	0	threadId
1800f23e6	string	21	0	EspGetCollectionType
1800f23fb	string	15	0	PartA_PrivTags
1800f240a	string	13	0	 wilActivity
1800f2419	string	8	0	hresult
1800f2422	string	9	0	threadId
