address	type	length	references	value
1803df978	string	29	6	crates\sorted_map\src\lib.rs
1803dfa40	string	624	0	InvalidFormatInvalidKindOpenSymlinkQuerySymlinkIoVolumeDeviceToDosNameFailedToResolvePathFormInvalidDosPathInvalidNtPathNoDosPathNoNtPathInvalidFileObjectTypeReadBufferTooSmallDataNotAlignedInvalidDataForTypeEnsureEventObjectEventObjectAbsentFieldOpenRegistryKeyInvalidFileInformationClassToFileObjectWithInstanceFailedQueryChildArgumentAsFileObjectWithInstanceInvalidFileObjectTargetTypeCloneFileObjectVariantFailedAsFltVolumeFailedFileNotOpenedArithmeticOverflowKtmTransactionQueryEnlistTransactionOpenTokenHandleinternal error: entered unreachable code: checked with contains_key abovelib\src\event_queue\elam_boot.rs
1803dfce0	string	27	1	lib\src\path\filesystem.rs
1803dfd70	string	21	2	lib\src\path\pipe.rs
1803dfdd2	string	25	2	lib\src\path\mailslot.rs
1803dfe20	unicode	40	4	\REGISTRY\MACHINE\
1803dfe58	unicode	12	1	HKLM\
1803dfe78	unicode	40	1	HKEY_LOCAL_MACHINE\
1803dfeb0	unicode	32	1	\REGISTRY\USER\
1803dfef8	unicode	24	1	HKEY_USERS\
1803dff20	string	25	1	lib\src\path\registry.rs
1803dff58	string	24	2	crates\fs\src\ealist.rs
1803dffa0	string	25	1	crates\ps\src\process.rs
1803dfff8	string	140	2	ContextKeyEventObjectId_GUIDData1Data2Data3Data4Kernel provided invalid SecurityDescriptor pointer in AccessStatelib\src\event\fs\mod.rs
1803e00a0	string	42	3	checked abovelib\src\filter\comparison.rs
1803e0148	string	56	0	internal error: entered unreachable code: handled above
1803e01fa	string	51	0	Duplicateexisting_client_idPersistenceClientStore+
1803e022e	string	28	0	ClientObject_OpenCollection
1803e024a	string	11	0	ActivityId
1803e026b	string	28	0	ClientObject_OpenEventQueue
1803e0287	string	11	0	ActivityId
1803e0296	string	29	0	ClientObject_CloseCollection
1803e02b3	string	11	0	ActivityId
1803e02c2	string	29	0	ClientObject_CloseEventQueue
1803e02df	string	11	0	ActivityId
1803e02ee	string	30	0	ClientObject_CreateCollection
1803e030c	string	11	0	ActivityId
1803e031b	string	30	0	ClientObject_UpdateCollection
1803e0339	string	11	0	ActivityId
1803e0348	string	14	0	ClientConnect
1803e0356	string	11	0	ActivityId
1803e0365	string	15	0	ClientRegister
1803e0374	string	11	0	ActivityId
1803e0383	string	17	0	ClientDisconnect
1803e0394	string	11	0	ActivityId
1803e03a3	string	17	0	ClientUnregister
1803e03b4	string	11	0	ActivityId
1803e03c3	string	26	0	ClientManager_RemoveRules
1803e03dd	string	11	0	ActivityId
1803e03ec	string	26	0	ClientManager_UpdateRules
1803e0406	string	11	0	ActivityId
1803e0415	string	19	0	PersistedStateLoad
1803e0428	string	11	0	ActivityId
1803e0434	string	22	14	lib\src\client\mod.rs
1803e0483	string	28	0	ClientObject_OpenCollection
1803e049f	string	11	0	ActivityId
1803e04ab	string	6	0	Error
1803e04b2	string	16	0	#ErrorTruncated
1803e04c9	string	6	0	#Line
1803e04e3	string	28	0	ClientObject_OpenCollection
1803e04ff	string	11	0	ActivityId
1803e050b	string	11	0	ClientGuid
1803e0517	string	15	0	CollectionGuid
1803e053b	string	28	0	ClientObject_OpenEventQueue
1803e0557	string	11	0	ActivityId
1803e0563	string	6	0	Error
1803e056a	string	16	0	#ErrorTruncated
1803e0581	string	6	0	#Line
1803e058b	string	28	0	ClientObject_OpenEventQueue
1803e05a7	string	11	0	ActivityId
1803e05b3	string	11	0	ClientGuid
1803e05bf	string	10	0	QueueGuid
1803e05cd	string	29	0	ClientObject_CloseCollection
1803e05ea	string	11	0	ActivityId
1803e05f6	string	6	0	Error
1803e05fd	string	16	0	#ErrorTruncated
1803e0614	string	6	0	#Line
1803e061e	string	29	0	ClientObject_CloseCollection
1803e063b	string	11	0	ActivityId
1803e0647	string	11	0	ClientGuid
1803e0653	string	15	0	CollectionGuid
1803e0666	string	29	0	ClientObject_CloseEventQueue
1803e0683	string	11	0	ActivityId
1803e068f	string	6	0	Error
1803e0696	string	16	0	#ErrorTruncated
