address	size	name	signature	thunk	external	noreturn
1800bc4a0	18	std::exception::what	char * __thiscall what(exception * this)	false	false	false
1800bc4c0	66	std::exception::`vector_deleting_destructor'	void * __thiscall `vector_deleting_destructor'(exception * this, uint param_1)	false	false	false
1800bc508	296	wil::details::GetModuleInformation	bool __cdecl GetModuleInformation(void * param_1, uint * param_2, char * param_3, __uint64 param_4)	false	false	false
1800bc640	60	wil::details::GetCurrentModuleName	char * __cdecl GetCurrentModuleName(void)	false	false	false
1800bc690	7	wil::details::DebugBreak	void __cdecl DebugBreak(void)	false	false	false
1800bc6a0	88	wil::details::WilDynamicLoadRaiseFailFastException	void __cdecl WilDynamicLoadRaiseFailFastException(_EXCEPTION_RECORD * param_1, _CONTEXT * param_2, ulong param_3)	false	false	false
1800bc700	88	wil::ResultException::ResultException	undefined __thiscall ResultException(ResultException * this, FailureInfo * param_1)	false	false	false
1800bc760	464	wil::ResultException::what	char * __thiscall what(ResultException * this)	false	false	false
1800bc940	52	wil::ResultException::`scalar_deleting_destructor'	void * __thiscall `scalar_deleting_destructor'(ResultException * this, uint param_1)	false	false	false
1800bc97c	124	wil::ResultException::~ResultException	void __thiscall ~ResultException(ResultException * this)	false	false	false
1800bca00	13	wil::details::Rethrow	void __cdecl Rethrow(void)	false	false	false
1800bca20	37	wil::details::ThrowResultExceptionInternal	void __cdecl ThrowResultExceptionInternal(FailureInfo * param_1)	false	false	false
1800bca4c	269	wil::ResultException::ResultException	undefined __thiscall ResultException(ResultException * this, ResultException * param_1)	false	false	false
1800bcb60	112	wil::details::FormatNtStatusMsg	void __cdecl FormatNtStatusMsg(long param_1, wchar_t * param_2, ulong param_3)	false	false	false
1800bcbe0	94	wil::details::RtlNtStatusToDosErrorNoTeb	ulong __cdecl RtlNtStatusToDosErrorNoTeb(long param_1)	false	false	false
1800bcc50	87	wil::details::RtlDllShutdownInProgress	uchar __cdecl RtlDllShutdownInProgress(void)	false	false	false
1800bccb0	301	wil::details::MicrosoftInternalNotifyFailure	void __cdecl MicrosoftInternalNotifyFailure(FailureInfo * param_1)	false	false	false
1800bcde4	276	WespClientProvider::wil_error<wchar_t_const*___ptr64_const,char_const*___ptr64_const,unsigned_int_const&___ptr64,long_const&___ptr64>	void __cdecl wil_error<wchar_t_const*___ptr64_const,char_const*___ptr64_const,unsigned_int_const&___ptr64,long_const&___ptr64>(wchar_t * * param_1, char * * param_2, uint * param_3, long * param_4)	false	false	false
1800bcf00	191	Esp::Collection::~Collection	void __thiscall ~Collection(Collection * this)	false	false	false
1800bcfc8	260	Esp::PortListener::~PortListener	void __thiscall ~PortListener(PortListener * this)	false	false	false
1800bd0d4	194	utl::make_shared<class_Esp::EventQueue>	shared_ptr<class_Esp::EventQueue> __cdecl make_shared<class_Esp::EventQueue>(void)	false	false	false
1800bd19c	86	utl::make_unique<class_Esp::Handle<class_Esp::EventObjectReference>,class_utl::shared_ptr<class_Esp::EventObjectReference>,0>	unique_ptr<class_Esp::Handle<class_Esp::EventObjectReference>,struct_utl::default_delete<class_Esp::Handle<class_Esp::EventObjectReference>_>_> __cdecl make_unique<class_Esp::Handle<class_Esp::EventObjectReference>,class_utl::shared_ptr<class_Esp::EventObjectReference>,0>(shared_ptr<class_Esp::EventObjectReference> * param_1)	false	false	false
1800bd1f8	108	utl::make_shared<class_Esp::Filter>	shared_ptr<class_Esp::Filter> __cdecl make_shared<class_Esp::Filter>(void)	false	false	false
1800bd26c	110	utl::make_shared<class_Esp::EventObjectReference>	shared_ptr<class_Esp::EventObjectReference> __cdecl make_shared<class_Esp::EventObjectReference>(void)	false	false	false
1800bd2e0	129	utl::make_shared<class_Esp::Collection>	shared_ptr<class_Esp::Collection> __cdecl make_shared<class_Esp::Collection>(void)	false	false	false
1800bd368	362	utl::basic_string<wchar_t,struct_utl::char_traits<wchar_t>,class_utl::allocator<wchar_t>_>::append	bool __thiscall append(basic_string<wchar_t,struct_utl::char_traits<wchar_t>,class_utl::allocator<wchar_t>_> * this, wchar_t * param_1, __uint64 param_2)	false	false	false
1800bd4d8	162	utl::basic_string<wchar_t,struct_utl::char_traits<wchar_t>,class_utl::allocator<wchar_t>_>::_GrowAlloc	pair<wchar_t*___ptr64,unsigned___int64> __thiscall _GrowAlloc(basic_string<wchar_t,struct_utl::char_traits<wchar_t>,class_utl::allocator<wchar_t>_> * this, __uint64 param_1)	false	false	false
1800bd580	12	utl::_RefCountVtable<class_utl::_RefCountStored<class_Esp::Filter,class_utl::allocator<int>,0>,0>::_FreeRefCount	void __thiscall _FreeRefCount(_RefCountVtable<class_utl::_RefCountStored<class_Esp::Filter,class_utl::allocator<int>,0>,0> * this)	false	false	false
1800bd5a0	9	utl::_RefCountVtable<class_utl::_RefCountStored<class_Esp::Collection,class_utl::allocator<int>,0>,0>::_CallDeleter	void __thiscall _CallDeleter(_RefCountVtable<class_utl::_RefCountStored<class_Esp::Collection,class_utl::allocator<int>,0>,0> * this)	false	false	false
1800bd5b0	38	utl::_RefCountVtable<class_utl::_RefCountStored<class_Esp::EventObjectReference,class_utl::allocator<int>,0>,0>::_CallDeleter	void __thiscall _CallDeleter(_RefCountVtable<class_utl::_RefCountStored<class_Esp::EventObjectReference,class_utl::allocator<int>,0>,0> * this)	false	false	false
1800bd5e0	9	utl::_RefCountVtable<class_utl::_RefCountStored<class_Esp::Rule,class_utl::allocator<int>,0>,0>::_CallDeleter	void __thiscall _CallDeleter(_RefCountVtable<class_utl::_RefCountStored<class_Esp::Rule,class_utl::allocator<int>,0>,0> * this)	false	false	false
